genome,accession,all_accessions
SAMN02742758,['JMTA01000104'],"['NZ_JMTA00000000.1', 'NZ_JMTA01000129.1', 'NZ_JMTA01000128.1', 'NZ_JMTA01000127.1', 'NZ_JMTA01000126.1', 'NZ_JMTA01000125.1', 'NZ_JMTA01000124.1', 'NZ_JMTA01000123.1', 'NZ_JMTA01000122.1', 'NZ_JMTA01000121.1', 'NZ_JMTA01000120.1', 'NZ_JMTA01000119.1', 'NZ_JMTA01000118.1', 'NZ_JMTA01000117.1', 'NZ_JMTA01000116.1', 'NZ_JMTA01000115.1', 'NZ_JMTA01000114.1', 'NZ_JMTA01000113.1', 'NZ_JMTA01000112.1', 'NZ_JMTA01000111.1']"
SAMN02603580,"['CP003218', 'CP003218', 'CP003218']","['NC_016612.1', 'CP003218.1']"
SAMN02440958,"['ARWD01000001', 'ARWD01000001']","['NZ_ARWD00000000.1', 'NZ_ARWD01000001.1', 'ARWD01000001.1', 'ARWD00000000.1']"
SAMN04304556,"['LOAT01000083', 'LOAT01000083']","['NZ_LOAT00000000.1', 'NZ_LOAT01000091.1', 'NZ_LOAT01000090.1', 'NZ_LOAT01000089.1', 'NZ_LOAT01000088.1', 'NZ_LOAT01000087.1', 'NZ_LOAT01000086.1', 'NZ_LOAT01000085.1', 'NZ_LOAT01000084.1', 'NZ_LOAT01000083.1', 'NZ_LOAT01000082.1', 'NZ_LOAT01000081.1', 'NZ_LOAT01000080.1', 'NZ_LOAT01000079.1', 'NZ_LOAT01000078.1', 'NZ_LOAT01000077.1', 'NZ_LOAT01000076.1', 'NZ_LOAT01000075.1', 'NZ_LOAT01000074.1', 'NZ_LOAT01000073.1']"
SAMN00262641,['GL983016'],"['NZ_AFPZ00000000.1', 'NZ_GL983038.1', 'NZ_GL983037.1', 'NZ_GL983036.1', 'NZ_GL983035.1', 'NZ_GL983034.1', 'NZ_GL983033.1', 'NZ_GL983032.1', 'NZ_GL983031.1', 'NZ_GL983030.1', 'NZ_GL983029.1', 'NZ_GL983028.1', 'NZ_GL983027.1', 'NZ_GL983026.1', 'NZ_GL983025.1', 'NZ_GL983024.1', 'NZ_GL983023.1', 'NZ_GL983022.1', 'NZ_GL983021.1', 'NZ_GL983020.1']"
SAMN02469760,"['AFJJ01000035', 'AFJJ01000003', 'AFJJ01000005', 'AFJJ01000002', 'AFJJ01000035', 'AFJJ01000002']","['NZ_AFJJ00000000.1', 'NZ_AFJJ01000083.1', 'NZ_AFJJ01000082.1', 'NZ_AFJJ01000081.1', 'NZ_AFJJ01000080.1', 'NZ_AFJJ01000079.1', 'NZ_AFJJ01000078.1', 'NZ_AFJJ01000077.1', 'NZ_AFJJ01000076.1', 'NZ_AFJJ01000075.1', 'NZ_AFJJ01000074.1', 'NZ_AFJJ01000073.1', 'NZ_AFJJ01000072.1', 'NZ_AFJJ01000071.1', 'NZ_AFJJ01000070.1', 'NZ_AFJJ01000069.1', 'NZ_AFJJ01000068.1', 'NZ_AFJJ01000067.1', 'NZ_AFJJ01000066.1', 'NZ_AFJJ01000065.1']"
SAMD00041830,"['BACI01000060', 'BACI01000070', 'BACI01000060']","['NZ_BACI00000000.1', 'NZ_BACI01000131.1', 'NZ_BACI01000127.1', 'NZ_BACI01000126.1', 'NZ_BACI01000125.1', 'NZ_BACI01000124.1', 'NZ_BACI01000123.1', 'NZ_BACI01000122.1', 'NZ_BACI01000121.1', 'NZ_BACI01000120.1', 'NZ_BACI01000119.1', 'NZ_BACI01000118.1', 'NZ_BACI01000117.1', 'NZ_BACI01000116.1', 'NZ_BACI01000115.1', 'NZ_BACI01000114.1', 'NZ_BACI01000113.1', 'NZ_BACI01000112.1', 'NZ_BACI01000111.1', 'NZ_BACI01000110.1']"
SAMD00060990,['AP012203'],"['NC_015571.1', 'AP012203.1']"
SAMEA2271992,"['HF571520', 'HF571520']","['NC_021921.1', 'NC_021913.1', 'HF571521.1', 'HF571520.1']"
SAMN02472187,"['AFNT02000013', 'AFNT02000016']","['NZ_AFNT00000000.2', 'NZ_AFNT02000072.1', 'NZ_AFNT02000071.1', 'NZ_AFNT02000070.1', 'NZ_AFNT02000069.1', 'NZ_AFNT02000068.1', 'NZ_AFNT02000067.1', 'NZ_AFNT02000066.1', 'NZ_AFNT02000065.1', 'NZ_AFNT02000064.1', 'NZ_AFNT02000063.1', 'NZ_AFNT02000062.1', 'NZ_AFNT02000061.1', 'NZ_AFNT02000060.1', 'NZ_AFNT02000059.1', 'NZ_AFNT02000058.1', 'NZ_AFNT02000057.1', 'NZ_AFNT02000056.1', 'NZ_AFNT02000055.1', 'NZ_AFNT02000054.1']"
